ColorName,HexCode,RGB_1,RGB_2,RGB_3
Camel,#c69f59,198,159,89
Pesto,#c1b23e,193,178,62
Blizzard Blue,#a3e3ed,163,227,237
Aphroditean Fuschia,#dd14ab,221,20,171
Bolognese,#bb4400,187,68,0
Caramel,#af6f09,175,111,9
Lotus Flower,#f4f0da,244,240,218
Hot Flamingo,#b35966,179,89,102
Love Affair,#ffbec8,255,190,200
Eggnog,#fdea9f,253,234,159
Nordic Noir,#003344,0,51,68
Candy,#ff9b87,255,155,135
Red Elegance,#85464b,133,70,75
Radiant Sunrise,#eebe1b,238,190,27
Young Night,#232323,35,35,35
Sereni Teal,#76baa8,118,186,168
Pickled Pineapple,#eeff33,238,255,51
Midnight Melancholia,#002266,0,34,102
Duck Hunt,#005800,0,88,0
Wind Chimes,#cac5c2,202,197,194
Banner Gold,#a28557,162,133,87
Metal,#babfbc,186,191,188
Mummy's Tomb,#828e84,130,142,132
Merlot,#730039,115,0,57
Caviar,#292a2d,41,42,45
LA Vibes,#eeccdd,238,204,221
Macaroon,#b38b71,179,139,113
Windjammer,#62a5df,98,165,223
Earthbound,#a48a80,164,138,128
Stormy Oceans,#70818e,112,129,142
Flamingo Queen,#cc33ff,204,51,255
Dark Olive,#373e02,55,62,2
Giggle,#eff0d3,239,240,211
Chocolate Lust,#993322,153,51,34
Magnetos,#bf3cff,191,60,255
Golden Ginkgo,#f9f525,249,245,37
Haunted Hills,#003311,0,51,17
Lucius Lilac,#baa2ce,186,162,206
Honey Bunny,#dbb881,219,184,129
Arctic,#648589,100,133,137
Moonless Night,#2f2d30,47,45,48
Ocean Breeze,#d3e5eb,211,229,235
Volcanic Rock,#6b6965,107,105,101
One Minute to Midnight,#003388,0,51,136
Lavender,#b56edc,181,110,220
Mulberry,#920a4e,146,10,78
Transfusion,#ea1833,234,24,51
Lucky Lobster,#cc3322,204,51,34
Pear,#d1e231,209,226,49
Cold Light of Day,#00eeee,0,238,238
Ghost Whisperer,#cbd1d0,203,209,208
Pastel Brown,#836953,131,105,83
Hello Summer,#55bbff,85,187,255
Passion Flower,#6d5698,109,86,152
Pitch Black,#483c41,72,60,65
Pig Pink,#fdd7e4,253,215,228
Metal Petal,#b090b2,176,144,178
Vivid Orange,#ff5f00,255,95,0
Whirlpool,#a5d8cd,165,216,205
Farmer's Market,#8f917c,143,145,124
Biohazard Suit,#fbfb4c,251,251,76
Beurre Blanc,#ede1be,237,225,190
Hawaii Morning,#00bbff,0,187,255
Chinotto,#554747,85,71,71
Nicotine Gold,#eebb33,238,187,51
Frankenstein,#7ba05b,123,160,91
High Voltage,#eeff11,238,255,17
Flint Rock,#989493,152,148,147
Herring Silver,#c6c8cf,198,200,207
Cucumber Milk,#c2f177,194,241,119
Polly,#ffcaa4,255,202,164
Reading Tea Leaves,#7d5d5e,125,93,94
Majestic Magenta,#ee4488,238,68,136
Hippie Trail,#c6aa2b,198,170,43
Bride's Blush,#f9e2e1,249,226,225
Pollination,#eedd66,238,221,102
Ludicrous Lemming,#bb8877,187,136,119
Good Morning,#fcfcda,252,252,218
Ninja Turtle,#94b1a9,148,177,169
Fairy Tale,#f2c1d1,242,193,209
Minted Blueberry Lemonade,#b32651,179,38,81
Frozen Salmon,#fea993,254,169,147
Hazelwood,#fff3d5,255,243,213
Wedding in White,#fffee5,255,254,229
Galaxy Blue,#2a4b7c,42,75,124
Madras,#473e23,71,62,35
Mauve,#e0b0ff,224,176,255
Canadian Maple,#cab266,202,178,102
Lotion,#fefdfa,254,253,250
Lumberjack,#9d4542,157,69,66
Flood,#6677bb,102,119,187
Oriental Spice,#8b5131,139,81,49
Incision,#ff0022,255,0,34
Mustang,#5e4a47,94,74,71
Hinterland,#616c51,97,108,81
Kaltes Klares Wasser,#0ffef9,15,254,249
Big Yellow Taxi,#ffff33,255,255,51
Mai Tai,#a56531,165,101,49
Moonlight,#f6eed5,246,238,213
Glitter Shower,#88ffff,136,255,255
Peach,#ffb07c,255,176,124
Love Letter,#e4658e,228,101,142
Retro Nectarine,#ef7d16,239,125,22
Kelp,#4d503c,77,80,60
Ghost,#c0bfc7,192,191,199
Kathmandu,#ad9a5d,173,154,93
Green Venom,#b8f818,184,248,24
Lime Punch,#c0d725,192,215,37
Kissable,#fd8f79,253,143,121
Arctic Water,#00fcfc,0,252,252
Mangala Pink,#e781a6,231,129,166
Restful Rain,#f1f2dd,241,242,221
Wakame Green,#00656e,0,101,110
Channel,#f1c3c2,241,195,194
Carpaccio,#e34234,227,66,52
Venus Mist,#5f606e,95,96,110
Dark Rum,#45362b,69,54,43
Distant Cloud,#e5eae6,229,234,230
Candy Floss,#e8a7e2,232,167,226
Fusion Red,#ff6163,255,97,99
Exclusive Elixir,#f9f1dd,249,241,221
Sail into the Horizon,#a3bbdc,163,187,220
Petite Pink,#eacacb,234,202,203
Space Exploration,#001199,0,17,153
Negishi Green,#938b4b,147,139,75
Twilight,#4e518b,78,81,139
Wild West,#7e5c52,126,92,82
Murmur,#d2d8d2,210,216,210
Ivory Tower,#fbf3f1,251,243,241
Feminism,#9d5783,157,87,131
Crown of Thorns,#763c33,118,60,51
Shaving Cream,#e1e5e5,225,229,229
Finnish Fiord,#5db0be,93,176,190
Murasaki,#4f284b,79,40,75
No Way Rosé,#fbaa95,251,170,149
Lama,#e0bb95,224,187,149
Into the Stratosphere,#425267,66,82,103
Crude Banana,#21c40e,33,196,14
Forbidden Fruit,#fe7b7c,254,123,124
Nuclear Meltdown,#44ee00,68,238,0
Deep Sea Nightmare,#002366,0,35,102
Plum Cheese,#670728,103,7,40
Dollar Bill,#85bb65,133,187,101
Islamic Green,#009900,0,153,0
Lizard,#71643e,113,100,62
Jelly Berry,#ee1177,238,17,119
Little Lamb,#eae6d7,234,230,215
Myrtle,#21421e,33,66,30
Dust Storm,#e7d3b7,231,211,183
Diesel,#322c2b,50,44,43
Calabrese,#f4a6a3,244,166,163
Butter Up,#f4e0bb,244,224,187
Taco,#f3c7b3,243,199,179
Chorizo,#aa0011,170,0,17
Lava Pit,#e46f34,228,111,52
Turtle,#523f31,82,63,49
Illicit Darkness,#00022e,0,2,46
Fuzzy Duckling,#ffea70,255,234,112
Cigarette Glow,#ee5500,238,85,0
Munch On Melon,#f23e67,242,62,103
Mysterious Blue,#3e7a85,62,122,133
Nuit Blanche,#1e488f,30,72,143
Brown Alpaca,#b86d29,184,109,41
Flush Orange,#ff6f01,255,111,1
Loch Ness,#5f6db0,95,109,176
Moorland,#a6ab9b,166,171,155
Moonwalk,#bebec4,190,190,196
Candle Glow,#ffe8c3,255,232,195
Chocolate Truffle,#612e35,97,46,53
Buttery,#ffc283,255,194,131
Violaceous,#bf8fc4,191,143,196
Vermicelle,#dabe82,218,190,130
Vampire Fangs,#cc2255,204,34,85
Exploding Star,#fed83a,254,216,58
Minty Paradise,#00ffbb,0,255,187
Neon Carrot,#ff9933,255,153,51
Bambino,#8edacc,142,218,204
Neon Pink,#fe019a,254,1,154
Narwhal Grey,#080813,8,8,19
Meatloaf,#663311,102,51,17
Butterscotch,#fdb147,253,177,71
Alley Cat,#656874,101,104,116
Harvest Time,#cf875f,207,135,95
Faint Gold,#b59410,181,148,16
Bloodhound,#bb5511,187,85,17
Aubergine,#372528,55,37,40
Peachy Feeling,#ed8666,237,134,102
White Elephant,#dedee5,222,222,229
Zen,#cfd9de,207,217,222
Paper Hearts,#cc4466,204,68,102
Harem Silk,#006383,0,99,131
Ice Ice Baby,#00ffdd,0,255,221
Juicy Lime,#b1cf5d,177,207,93
Forest,#0b5509,11,85,9
Opal,#aee0e4,174,224,228
Pressing my Luck,#00cc11,0,204,17
Trout,#4c5356,76,83,86
Garlic Clove,#e2d7c1,226,215,193
Castaway,#6dbac0,109,186,192
Mossy,#857349,133,115,73
Lost Golfer,#74af54,116,175,84
Duckling Fluff,#fafc5d,250,252,93
Pandora's Box,#fedbb7,254,219,183
Choco Chic,#993311,153,51,17
Awkward Purple,#d208cc,210,8,204
Capri,#00bfff,0,191,255
Light Brown,#b5651d,181,101,29
Burning Flame,#ffb162,255,177,98
Licorice,#1a1110,26,17,16
Zinc,#92898a,146,137,138
Vitamin C,#ff9900,255,153,0
Milk,#fdfff5,253,255,245
English Manor,#7181a4,113,129,164
Alarm,#ec0003,236,0,3
Cafe Creme,#c79685,199,150,133
Beat Around the Bush,#6e6a44,110,106,68
Green Bell Pepper,#228800,34,136,0
Fluorescence,#89d178,137,209,120
Award Winning White,#fef0de,254,240,222
Chocolate,#d2691e,210,105,30
Ether,#9eb6b8,158,182,184
Opal Flame,#e95c4b,233,92,75
Chili Pepper,#9b1b30,155,27,48
Vivid Raspberry,#ff006c,255,0,108
Fresh Air,#a6e7ff,166,231,255
Pleasant Purple,#8833aa,136,51,170
Magic Magenta,#7f4774,127,71,116
Hot Magenta,#ff00cc,255,0,204
Elephant in the Room,#a8a9a8,168,169,168
Lemon,#fff700,255,247,0
Arugula,#75ad5b,117,173,91
Girlie,#ffd3cf,255,211,207
Golf Course,#5a9e4b,90,158,75
Irish Coffee,#62422b,98,66,43
Hot Chocolate,#683b39,104,59,57
Coral,#ff7f50,255,127,80
Muted Berry,#91788c,145,120,140
Baby Blue,#a2cffe,162,207,254
Polished Pearl,#f8edd3,248,237,211
Biscuit,#feedca,254,237,202
Wu-Tang Gold,#f8d106,248,209,6
Magical Merlin,#3d8ed0,61,142,208
Fossil Stone,#e3ddcc,227,221,204
Chipmunk,#cfa14a,207,161,74
Intoxicate,#11bb55,17,187,85
Purple Rain,#7442c8,116,66,200
Bavarian Green,#749a54,116,154,84
Mt. Rushmore,#7f8181,127,129,129
Poached Egg,#f5d893,245,216,147
Eyeball,#fffbf8,255,251,248
Italian Roast,#221111,34,17,17
Flan,#f6e3b4,246,227,180
Eagle,#b0ac94,176,172,148
Flame,#e25822,226,88,34
Wizard,#4d5b88,77,91,136
Brownie,#964b00,150,75,0
Infra Red,#fe486c,254,72,108
Jungle Civilization,#69673a,105,103,58
Dark Wood,#855e42,133,94,66
Danger,#ff0e0e,255,14,14
Coca Mocha,#bd9d95,189,157,149
Makin it Rain,#88bb55,136,187,85
Plantation,#3e594c,62,89,76
Old Silver,#848482,132,132,130
Pastel Smirk,#deece1,222,236,225
Magenta,#ff00ff,255,0,255
Chai Tea,#b1832f,177,131,47
Toxic Sludge,#00bb33,0,187,51
Nirvana,#a2919b,162,145,155
Gallant Green,#99aa66,153,170,102
Muddy Quicksand,#c3988b,195,152,139
Grapefruit,#fd5956,253,89,86
Heather Berry,#e75480,231,84,128
Purple Haze,#807396,128,115,150
Drunk-Tank Pink,#dd11dd,221,17,221
Kimono,#6d86b6,109,134,182
Pine Needle,#334d41,51,77,65
Tranquili Teal,#6c9da9,108,157,169
Master Sword Blue,#00ffee,0,255,238
Fiddle-Leaf Fig,#a6c875,166,200,117
Wine Cellar,#70403d,112,64,61
Mushroom Risotto,#dbd0ca,219,208,202
Chestnut,#742802,116,40,2
Bakery Brown,#ab9078,171,144,120
Luigi,#4cbb17,76,187,23
Kinky Pinky,#ee55cc,238,85,204
Frozen Wave,#56acca,86,172,202
Vin Cuit,#b47463,180,116,99
Gingerbread,#8c4a2f,140,74,47
Merguez,#650021,101,0,33
Yell Yellow,#ffffbf,255,255,191
Vintage Porcelain,#f2edec,242,237,236
Romesco,#f48101,244,129,1
Atomic Tangerine,#ff9966,255,153,102
Morel,#685c53,104,92,83
Candlelight,#fcd917,252,217,23
Moelleux Au Chocolat,#553311,85,51,17
Magic Potion,#ff4466,255,68,102
Cream,#ffffc2,255,255,194
Olive Tree,#aba77c,171,167,124
Colonial White,#ffedbc,255,237,188
Ebony,#313337,49,51,55
Cadillac Coupe,#c0362c,192,54,44
Highlander,#3a533d,58,83,61
Atlantis,#336172,51,97,114
Pale Sky,#bdf6fe,189,246,254
Battletoad,#11cc55,17,204,85
Velvet Magic,#bb1155,187,17,85
Fire Bolt,#cc4411,204,68,17
Carbon,#333333,51,51,51
Barbecue,#c26157,194,97,87
Empress,#7c7173,124,113,115
Milk and Cookies,#e9e1df,233,225,223
Prosecco,#fad6a5,250,214,165
Heavy Violet,#4f566c,79,86,108
Pineapple,#563c0d,86,60,13
Hot Sand,#ccaa00,204,170,0
Lusty Lavender,#8d5eb7,141,94,183
Melanzane,#342931,52,41,49
Fluffy Duckling,#fcdf39,252,223,57
Watermelon Milk,#dfcfca,223,207,202
Polar Bear,#eae9e0,234,233,224
Darkest Dungeon,#660011,102,0,17
Chocolate Explosion,#8e473b,142,71,59
Kendall Rose,#f7cccd,247,204,205
Croissant,#c4ab86,196,171,134
Lonestar,#522426,82,36,38
Night Owl,#5d7b89,93,123,137
Debian Red,#d70a53,215,10,83
Hickory,#b7a28e,183,162,142
Jigglypuff,#ffaaff,255,170,255
Purple Passion,#683d62,104,61,98
Hotter Butter,#e68a00,230,138,0
Purple Emperor,#6633bb,102,51,187
French Oak,#bb9e7c,187,158,124
Discreet Orange,#ffad98,255,173,152
Manhattan,#e2af80,226,175,128
Masala,#57534b,87,83,75
Rampart,#bcb7b1,188,183,177
Tropical Rainforest,#00755e,0,117,94
Dry Rose,#c22f4d,194,47,77
Radioactive,#89fe05,137,254,5
Ocean Blue,#009dc4,0,157,196
Super Rose Red,#cb1028,203,16,40
Noodles,#f9e3b4,249,227,180
Tuna,#46494e,70,73,78
Concrete,#d2d1cd,210,209,205
Hotter Than Hell,#ff4455,255,68,85
Dragonfly,#314a76,49,74,118
Banana Bandanna,#f8f739,248,247,57
Homeopathic Lavender,#e5e0ec,229,224,236
Fluorescent Yellow,#ccff02,204,255,2
Ming,#407577,64,117,119
Lucky,#ab9a1c,171,154,28
Dream Vapor,#cc99ee,204,153,238
Chutney,#98594b,152,89,75
Gold Vein,#d6b956,214,185,86
Planet of the Apes,#883333,136,51,51
Bloody Salmon,#cc4433,204,68,51
Shimmering Love,#ff88cc,255,136,204
Venomous Green,#66ff22,102,255,34
Easter Egg,#919bc9,145,155,201
MVS Red,#ee0000,238,0,0
Frozen Civilization,#e1f5e5,225,245,229
Temptatious Tangerine,#ff7733,255,119,51
Perfect Dark,#313390,49,51,144
Lava,#cf1020,207,16,32
Umbra,#211e1f,33,30,31
Drama Queen,#a37298,163,114,152
Antique,#8b846d,139,132,109
White Beach,#f5efe5,245,239,229
Eigengrau,#16161d,22,22,29
Havana,#3b2b2c,59,43,44
Escalope,#cc8866,204,136,102
Beveled Glass,#7accb8,122,204,184
Candied Snow,#d8fff3,216,255,243
Wasteland,#9c8855,156,136,85
Lavender Candy,#fcb4d5,252,180,213
Mauve It,#bb4466,187,68,102
Orange Delight,#ffc355,255,195,85
Ink Black,#252024,37,32,36
Whiskey,#d29062,210,144,98
Errigal White,#f2f2f4,242,242,244
Polished Silver,#c5d1da,197,209,218
Windfall,#84a7ce,132,167,206
Dark Matter,#110101,17,1,1
Metropolis,#61584f,97,88,79
8 Bit Eggplant,#990066,153,0,102
Midnight Dreams,#002233,0,34,51
Cannoli Cream,#f0efe2,240,239,226
Clover,#008f00,0,143,0
Fading Love,#c973a2,201,115,162
Fruity Licious,#f69092,246,144,146
Meteor,#bb7431,187,116,49
Motherland,#bcb667,188,182,103
Cloak and Dagger,#550055,85,0,85
Olive Leaf,#4e4b35,78,75,53
Enoki,#f8faee,248,250,238
Drunken Flamingo,#ff55cc,255,85,204
Lighthouse,#f3f4f4,243,244,244
Bookworm,#ebe3de,235,227,222
Cactus Spike,#c1e0a3,193,224,163
Vienna Roast,#330022,51,0,34
Honolulu Blue,#007fbf,0,127,191
Underwater Moonlight,#4488aa,68,136,170
Cream Puff,#ffbb99,255,187,153
Wet Concrete,#353838,53,56,56
Goldfish,#f2ad62,242,173,98
Hot Sauce,#ab4f41,171,79,65
Fish Bone,#e4d9c5,228,217,197
Cheesecake,#fffcda,255,252,218
Furious Frog,#55ee00,85,238,0
Velvet Cosmos,#441144,68,17,68
Champagne,#e9d2ac,233,210,172
Milk Tooth,#faebd7,250,235,215
Heavy Green,#49583e,73,88,62
Caramel Macchiato,#c58d4b,197,141,75
Noble Knight,#394d78,57,77,120
Golden Relic,#e8ce49,232,206,73
Kombucha,#d89f66,216,159,102
Peach Beauty,#e7c3ab,231,195,171
Fuchsia,#ed0dd9,237,13,217
Dire Wolf,#282828,40,40,40
Ferocious Fuchsia,#aa00cc,170,0,204
Cigar,#7d4e38,125,78,56
Dove,#b3ada7,179,173,167
Hulk,#008000,0,128,0
James Blonde,#f2e3b5,242,227,181
Hot Chilli,#b7513a,183,81,58
Eclipse,#3f3939,63,57,57
Atomic Lime,#b9ff03,185,255,3
Donegal Green,#115500,17,85,0
Oak Barrel,#715636,113,86,54
Namibia,#7c6d61,124,109,97
Dill,#6f7755,111,119,85
Nero,#252525,37,37,37
Pastel Pea,#bee7a5,190,231,165
Neon Fuchsia,#fe4164,254,65,100
Polished Limestone,#dcd5c8,220,213,200
Let it Snow,#d8f1f4,216,241,244
Roland-Garros,#bb5522,187,85,34
Fancy Fuchsia,#ff0088,255,0,136
Piggy Bank,#ffccbb,255,204,187
Creole,#393227,57,50,39
Egg Yolk,#ffce81,255,206,129
Avant-Garde Pink,#ff77ee,255,119,238
Shōji,#ded5c7,222,213,199
Currywurst,#ddaa33,221,170,51
Basil Smash,#b7e1a1,183,225,161
Vegetation,#5ccd97,92,205,151
First Crush,#f6e2ea,246,226,234
Oblivion,#000435,0,4,53
Vibrant Yellow,#ffda29,255,218,41
Flash in the Pan,#ff9977,255,153,119
Kelp Forest,#448811,68,136,17
Dark,#1b2431,27,36,49
Caduceus Staff,#eedd22,238,221,34
Dark Purple,#35063e,53,6,62
Steam Bath,#ccd0da,204,208,218
Hot Lava,#aa0033,170,0,51
Bank Vault,#757374,117,115,116
Pastel Grey,#cfcfc4,207,207,196
Beach Dune,#c6bb9c,198,187,156
Goku Orange,#f0833a,240,131,58
Night Mode,#234e86,35,78,134
Viola,#966ebd,150,110,189
Chocolate Temptation,#956e5f,149,110,95
Sugar Mint,#c0e2c5,192,226,197
Argent,#888888,136,136,136
Pinky,#fc86aa,252,134,170
Kindleflame,#e9967a,233,150,122
Yeti Footprint,#c7d7e0,199,215,224
Burning Trail,#ee9922,238,153,34
Snarky Mint,#9ae37d,154,227,125
Babe,#dc7b7c,220,123,124
Pink Elephants,#ff99ee,255,153,238
Sweet Desire,#aa33ee,170,51,238
Piggy,#ef98aa,239,152,170
High Sierra,#cedee2,206,222,226
Watermelonade,#eb4652,235,70,82
Onsen,#66eebb,102,238,187
La Vie en Rose,#d2a5a3,210,165,163
Blue Hour,#0034ab,0,52,171
Powdered,#f9f2e7,249,242,231
Ice Climber,#25e2cd,37,226,205
Mithril,#878787,135,135,135
Wild Rice,#d5bfb4,213,191,180
Cheese,#ffa600,255,166,0
Overgrown,#6b6048,107,96,72
White Smoke,#f5f5f5,245,245,245
Dancing Sea,#1c4d8f,28,77,143
Coffee Diva,#bea88d,190,168,141
Burning Fireflies,#ff1166,255,17,102
Link to the Past,#d2b48c,210,180,140
Wreath,#76856a,118,133,106
Pelican,#c1bcac,193,188,172
Opium,#987e7e,152,126,126
Plushy Pink,#eab7a8,234,183,168
Cold Turkey,#cab5b2,202,181,178
Aster,#867ba9,134,123,169
Opal Fire,#e49c86,228,156,134
Cloud Dancer,#f0eee9,240,238,233
Man Cave,#816045,129,96,69
Iceberg,#dae4ee,218,228,238
Deepsea Kraken,#082599,8,37,153
Pita,#f5e7d2,245,231,210
Kirby,#d74894,215,72,148
Minestrone,#c72616,199,38,22
Corn,#fbec5d,251,236,93
Peru,#cd853f,205,133,63
Olive Conquering White,#e4e5d8,228,229,216
Fortune Cookie,#e0c5a1,224,197,161
Ginger Ale,#c9a86a,201,168,106
Jakarta,#efddc3,239,221,195
Noxious,#89a203,137,162,3
Lynx,#604d47,96,77,71
Glacier,#78b1bf,120,177,191
Linen,#faf0e6,250,240,230
Black Wash,#0c0c0c,12,12,12
Indigo,#4b0082,75,0,130
Georgia Peach,#f97272,249,114,114
Iced Coffee,#b18f6a,177,143,106
Fail Whale,#99ccee,153,204,238
Honey Bee,#fcdfa4,252,223,164
Five Star,#ffaa4a,255,170,74
Plaster,#eaeaea,234,234,234
Jade Jewel,#247e81,36,126,129
Knight Rider,#0f0707,15,7,7
Cheesus,#ffcc77,255,204,119
Touch of Glamor,#dd8844,221,136,68
Good Karma,#333c76,51,60,118
Purple Void,#442244,68,34,68
Creamy Mint,#aaffaa,170,255,170
Mantis,#74c365,116,195,101
Frozen Forest,#cfe8b6,207,232,182
Prairie Land,#e2cc9c,226,204,156
Anger,#dd0055,221,0,85
Wave,#a5ced5,165,206,213
Angel Wing,#f3dfd7,243,223,215
Poison Ivy,#00ad43,0,173,67
Hot Beach,#fff6d9,255,246,217
Autumnal,#a15325,161,83,37
Glossy Black,#110011,17,0,17
Cashmere,#d1b399,209,179,153
French Blue,#0072bb,0,114,187
Poseidon,#123955,18,57,85
Pesto Rosso,#bb3333,187,51,51
Creamed Caramel,#b79c94,183,156,148
Silent Sea,#3a4a63,58,74,99
Foil,#c0c3c4,192,195,196
Kilimanjaro,#3a3532,58,53,50
Bread and Butter,#faedd2,250,237,210
Venus Slipper Orchid,#df73ff,223,115,255
Cashew Nut,#edccb3,237,204,179
Norway,#a4b88f,164,184,143
Bluetiful,#3c69e7,60,105,231
Harbour Blue,#417491,65,116,145
Hummus,#eecc99,238,204,153
Granola,#f5ce9f,245,206,159
Glow in the Dark,#befdb7,190,253,183
Illicit Purple,#bf77f6,191,119,246
Washed Dollar,#e1e3d7,225,227,215
Vanilla,#f3e5ab,243,229,171
Rubylicious,#db1459,219,20,89
Cardamom,#aaaa77,170,170,119
Yippie Ya Yellow,#f9f59f,249,245,159
Fennec Fox,#dad7c8,218,215,200
Melting Point,#cbe1e4,203,225,228
Bison,#6e4f3a,110,79,58
Burrito,#eed7c1,238,215,193
Cathedral,#acaaa7,172,170,167
Almond,#eddcc8,237,220,200
Majestic Magic,#555570,85,85,112
Muddy Rose,#e2beb4,226,190,180
Ecstatic Red,#aa1122,170,17,34
Fluorescent Turquoise,#00fdff,0,253,255
Nimbus Cloud,#d5d5d8,213,213,216
Dijon Mustard,#e2ca73,226,202,115
Ceramic,#fcfff9,252,255,249
Apollo Landing,#e5e5e1,229,229,225
Bluebonnet,#1c1cf0,28,28,240
Himalaya,#736330,115,99,48
Major Brown,#5b5149,91,81,73
Kiss,#d28ca7,210,140,167
Marsupilami,#fdf200,253,242,0
Koopa Green Shell,#58d854,88,216,84
Moutarde de Bénichon,#bf9005,191,144,5
Volt,#ceff00,206,255,0
Dusk,#4e5481,78,84,129
Flamenco,#ea8645,234,134,69
Mule,#827b77,130,123,119
Dark Orange,#c65102,198,81,2
Vanishing Point,#ddeedd,221,238,221
Dim,#c8c2be,200,194,190
Cappuccino,#633f33,99,63,51
Boa,#8e855f,142,133,95
Nettle,#bbac7d,187,172,125
Blush Bomb,#dd99aa,221,153,170
Jalapeno,#9a8d3f,154,141,63
Cathode Green,#00ff55,0,255,85
Lion,#c19a62,193,154,98
Köfte Brown,#773644,119,54,68
Acorn,#7e5e52,126,94,82
Whisky,#c2877b,194,135,123
Cola,#3c2f23,60,47,35
Cowboy,#443736,68,55,54
Possessed Red,#c2264d,194,38,77
Mimi Pink,#ffdae9,255,218,233
Glowlight,#fff6b9,255,246,185
Glimpse into Space,#121210,18,18,16
Heartbeat,#aa0000,170,0,0
Frosted Blueberries,#0055dd,0,85,221
Hello Spring,#44dd66,68,221,102
Japanese Bonsai,#829f96,130,159,150
Hollandaise,#ffee44,255,238,68
Hint of Yellow,#faf1cd,250,241,205
Nectarine,#ff8656,255,134,86
Baby Pink,#ffb7ce,255,183,206
Panorama,#327a88,50,122,136
Viridian,#1e9167,30,145,103
Oakwood,#bda58b,189,165,139
Fiord,#4b5a62,75,90,98
Polished Bronze,#cd7f32,205,127,50
Punk Rock Purple,#bb11aa,187,17,170
